episode,total_score,max_tile,num_moves,valid_moves,invalid_moves,wall_clock_seconds,training_steps
387,664,64,134,134,0,39.460548,57519
388,1376,128,208,208,0,39.634149,57727
389,372,32,83,83,0,39.708001,57810
390,1316,128,159,159,0,39.835973,57969
391,1696,128,320,320,0,40.102888,58289
392,2416,256,302,302,0,40.350571,58591
393,1272,128,169,169,0,40.484068,58760
394,320,32,85,85,0,40.55398,58845
395,1096,128,145,145,0,40.67093,58990
396,880,64,142,142,0,40.786007,59132
397,1500,128,266,266,0,41.008059,59398
398,656,64,113,113,0,41.101229,59511
399,2752,256,407,407,0,41.440098,59918
400,1452,128,224,224,0,41.644696,60142
401,1356,128,193,193,0,41.814326,60335
402,1388,128,206,206,0,41.982471,60541
403,1148,128,182,182,0,42.135752,60723
404,1036,64,225,225,0,42.32625,60948
405,1184,128,219,219,0,42.505557,61167
406,1136,128,233,233,0,42.706827,61400
407,1272,128,208,208,0,42.884094,61608
408,1520,128,251,251,0,43.090772,61859
409,1364,128,255,255,0,43.300279,62114
410,716,64,147,147,0,43.423149,62261
411,1148,128,187,187,0,43.57727,62448
412,1416,128,269,269,0,43.811995,62717
413,1352,128,213,213,0,43.991294,62930
414,760,64,141,141,0,44.109871,63071
415,320,32,75,75,0,44.172562,63146
416,868,64,153,153,0,44.300157,63299
417,560,64,148,148,0,44.423028,63447
418,1316,128,235,235,0,44.624127,63682
419,528,64,99,99,0,44.706221,63781
420,1156,128,227,227,0,44.891688,64008
421,572,64,100,100,0,44.973896,64108
422,660,64,147,147,0,45.095677,64255
423,840,64,186,186,0,45.252811,64441
424,588,64,109,109,0,45.344713,64550
425,1656,128,309,309,0,45.60515,64859
426,776,64,210,210,0,45.785997,65069
427,764,64,144,144,0,45.900654,65213
428,1268,128,239,239,0,46.088434,65452
429,780,64,166,166,0,46.215451,65618
430,392,32,92,92,0,46.288316,65710
431,1176,128,221,221,0,46.459704,65931
432,1732,128,340,340,0,46.72764,66271
433,1200,128,228,228,0,46.910224,66499
434,1132,128,208,208,0,47.072054,66707
435,724,64,171,171,0,47.211093,66878
436,1372,128,194,194,0,47.360369,67072
437,724,64,154,154,0,47.483615,67226
438,656,64,170,170,0,47.617943,67396
439,2812,256,415,415,0,47.945398,67811
440,756,64,181,181,0,48.088376,67992
441,692,64,129,129,0,48.193879,68121
442,1356,128,231,231,0,48.373268,68352
443,680,64,141,141,0,48.485678,68493
444,584,64,104,104,0,48.571116,68597
445,1280,128,257,257,0,48.779754,68854
446,1352,128,268,268,0,48.994464,69122
447,1040,128,217,217,0,49.169049,69339
448,1264,128,231,231,0,49.357462,69570
449,424,32,128,128,0,49.458881,69698
450,1504,128,311,311,0,49.711661,70009
451,1612,128,323,323,0,49.973763,70332
452,708,64,153,153,0,50.095644,70485
453,1588,128,271,271,0,50.305832,70756
454,688,64,183,183,0,50.451489,70939
455,744,64,212,212,0,50.633295,71151
456,712,64,193,193,0,50.799971,71344
457,444,32,134,134,0,50.918179,71478
458,652,64,167,167,0,51.062062,71645
459,1276,128,234,234,0,51.264545,71879
460,1348,128,316,316,0,51.541085,72195
461,1356,128,307,307,0,51.80932,72502
462,512,32,122,122,0,51.917665,72624
463,1024,128,216,216,0,52.111313,72840
464,816,64,197,197,0,52.288884,73037
465,1436,128,405,405,0,52.640069,73442
466,300,32,104,104,0,52.730643,73546
467,2784,256,535,535,0,53.212104,74081
468,1360,128,262,262,0,53.443367,74343
469,276,32,91,91,0,53.523619,74434
470,932,64,235,235,0,53.735584,74669
471,2760,256,556,556,0,54.219474,75225
472,964,128,200,200,0,54.39962,75425
473,656,64,173,173,0,54.575185,75598
474,620,64,174,174,0,54.723485,75772
475,1544,128,378,378,0,55.061258,76150
476,304,32,90,90,0,55.13667,76240
477,720,64,153,153,0,55.276817,76393
478,584,64,204,204,0,55.456203,76597
479,560,64,101,101,0,55.539052,76698
480,988,128,180,180,0,55.695417,76878
481,776,64,165,165,0,55.834765,77043
482,548,64,154,154,0,55.972027,77197
483,1100,128,247,247,0,56.184808,77444
484,1032,64,328,328,0,56.467917,77772
485,300,32,101,101,0,56.556824,77873
486,660,64,198,198,0,56.74112,78071
487,1280,128,423,423,0,57.112112,78494
488,736,64,278,278,0,57.351635,78772
489,628,64,189,189,0,57.518862,78961
490,940,64,268,268,0,57.761063,79229
491,788,64,195,195,0,57.930741,79424
492,1244,128,299,299,0,58.190435,79723
493,412,32,103,103,0,58.281668,79826
494,592,64,163,163,0,58.425184,79989
495,596,64,220,220,0,58.625633,80209
496,1332,128,365,365,0,58.952582,80574
497,1000,64,238,238,0,59.161491,80812
498,1260,128,324,324,0,59.451478,81136
499,760,64,239,239,0,59.666589,81375
500,1144,128,306,306,0,59.938396,81681
501,628,64,173,173,0,60.090242,81854
502,664,64,197,197,0,60.262334,82051
503,1540,128,478,478,0,60.683828,82529
504,2344,256,491,491,0,61.124256,83020
505,744,64,243,243,0,61.345505,83263
506,1316,128,339,339,0,61.647915,83602
507,1328,128,372,372,0,61.980207,83974
508,1400,128,347,347,0,62.282864,84321
509,1600,128,458,458,0,62.682885,84779
510,648,64,394,394,0,63.033786,85173
511,544,64,184,184,0,63.200058,85357
512,620,64,218,218,0,63.390469,85575
513,568,32,181,181,0,63.551485,85756
514,1400,128,414,414,0,63.943078,86170
515,1260,128,434,434,0,64.324689,86604
516,336,32,148,148,0,64.453424,86752
517,748,64,259,259,0,64.682949,87011
518,1212,128,434,434,0,65.076602,87445
519,524,64,216,216,0,65.267596,87661
520,800,64,296,296,0,65.532767,87957
521,1468,128,402,402,0,65.900249,88359
522,1424,128,647,647,0,66.481039,89006
523,388,32,252,252,0,66.706939,89258
524,404,32,229,229,0,66.913483,89487
525,1044,64,457,457,0,67.326714,89944
526,584,64,317,317,0,67.613688,90261
527,712,64,290,290,0,67.870525,90551
528,560,64,270,270,0,68.113355,90821
529,1736,128,651,651,0,68.697536,91472
530,2424,256,1045,1045,0,69.646511,92517
531,444,64,271,271,0,69.902215,92788
532,940,64,593,593,0,70.428359,93381
